parameter,lower_bound,upper_bound,base_value,sampling_scale,source,family,applied_to_model,note
Bpbo_perml,250000.0,1.0e6,1.0e6,log10,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
Bpbref_perml,250000.0,1.0e6,1.0e6,log10,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
Cl_tdb,1.5,5.4,3.0,log10,dlbcl_range_efast,PK_exposure,true,Previous DLBCL-range eFAST parameter.
IL6_tiss_contribution,0.0004,0.02,0.002,log10,forced_susilo_il6,IL6,true,Forced IL6 tissue contribution parameter.
KBp,1.0,900.0,1.0,log10,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
KBp2,1.0,600.0,1.0,log10,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
KBp3,60.0,600.0,600.0,log10,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
KTrp,1.0,500.0,1.0,log10,dlbcl_range_efast,t_cell_activation_infiltration,true,Previous DLBCL-range eFAST parameter.
KTrp2,0.02,500.0,0.02,log10,dlbcl_range_efast,t_cell_activation_infiltration,true,Previous DLBCL-range eFAST parameter.
KTrp3,50.0,500.0,500.0,log10,dlbcl_range_efast,t_cell_activation_infiltration,true,Previous DLBCL-range eFAST parameter.
Vpb,40.0,5000.0,40.0,log10,dlbcl_range_efast,PK_exposure,true,Previous DLBCL-range eFAST parameter.
Vtissue,7.0,210.0,40.0,log10,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
Vtissue2,1.0,400.0,1.0,log10,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
Vtissue3,1.0,500.0,1.0,log10,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
fTap,1.0,3.773,1.0,log10,dlbcl_range_efast,t_cell_activation_infiltration,true,Previous DLBCL-range eFAST parameter.
Trpbo_perml,500000.0,2.0e6,2.0e6,log10,dlbcl_range_efast,t_cell_activation_infiltration,true,Previous DLBCL-range eFAST parameter.
Trpbref_perml,500000.0,2.0e6,2.0e6,log10,dlbcl_range_efast,t_cell_activation_infiltration,true,Previous DLBCL-range eFAST parameter.
Cld_tdb,24.17,25.0,25.0,linear,dlbcl_range_efast,PK_exposure,true,Previous DLBCL-range eFAST parameter.
KdrugB,1.302,10.0,10.0,log10,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
KdrugactT,50.0,130.083,50.0,linear,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
KmBT_act,0.1,0.716,0.1,log10,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
Km_tdb,4.74,5.72,4.74,linear,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
Kptumor,0.05,1.0,1.0,log10,dlbcl_range_efast,tumor_burden_growth_infiltration,true,Previous DLBCL-range eFAST parameter.
S,1.0,1.4,1.0,linear,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
Vc_tdb,35.0,36.78,35.0,linear,dlbcl_range_efast,PK_exposure,true,Previous DLBCL-range eFAST parameter.
Vm_tdb,0.0,212.0,212.0,linear,dlbcl_range_efast,other_model,true,Previous DLBCL-range eFAST parameter.
Vp_tdb,110.0,173.47,110.0,linear,dlbcl_range_efast,PK_exposure,true,Previous DLBCL-range eFAST parameter.
