time,ANC,y2_raw
0.0000,3.0800000000,0.3760683761
0.2500,3.0800000000,0.3760683761
0.5000,3.0800000000,0.3760683761
0.7500,3.0800000000,0.3760683761
1.0000,3.0800000000,0.3760683761
1.2500,15.1166426936,1.8457439186
1.5000,21.6566591603,2.6442807278
1.7500,19.5667379074,2.3891010876
2.0000,14.1500125567,1.7277182609
2.2500,9.5603211129,1.1673163752
2.5000,6.3404609251,0.7741710531
2.7500,4.2338489958,0.5169534793
3.0000,2.8901890561,0.3528924366
3.2500,2.0548356050,0.2508956783
3.5000,1.5407513064,0.1881259226
3.7500,1.2216294952,0.1491611105
4.0000,1.0204814912,0.1246009147
4.2500,0.8930644406,0.1090432772
4.5000,0.8121011987,0.0991576555
4.7500,0.7604147834,0.0928467379
5.0000,0.7277034717,0.0888526828
5.2500,0.7081818582,0.0864690914
5.5000,0.6982410593,0.0852553186
5.7500,0.6953778492,0.0849057203
6.0000,0.6980400137,0.0852307709
6.2500,0.7054660565,0.0861374916
6.5000,0.7171468140,0.0875637136
6.7500,0.7325868271,0.0894489410
7.0000,0.7514761099,0.0917553248
7.2500,0.7737814971,0.0944788153
7.5000,0.7994894336,0.0976177575
7.7500,0.8284757171,0.1011569862
8.0000,0.8743781095,0.1067616739
8.2500,1.0234769717,0.1249666632
8.5000,1.3297689878,0.1623649558
8.7500,1.7999780350,0.2197775378
9.0000,2.4144399634,0.2948034143
9.2500,3.1277343659,0.3818967480
9.5000,3.9110482314,0.4775394666
9.7500,4.7553135664,0.5806243671
10.0000,5.6582170669,0.6908689947
10.2500,6.6178206736,0.8080367123
10.5000,7.6309609344,0.9317412618
10.7500,8.6774113526,1.0595129857
11.0000,9.7094249109,1.1855219671
11.2500,10.8050270558,1.3192951228
11.5000,12.0058519511,1.4659159892
11.7500,13.1319679441,1.6034148894
12.0000,13.9843322074,1.7074886700
12.2500,15.0630262584,1.8391973453
12.5000,16.4479699748,2.0082991422
12.7500,17.5592021643,2.1439807282
13.0000,17.9797168097,2.1953256178
13.2500,18.8888905628,2.3063358441
13.5000,20.3485778505,2.4845638401
13.7500,21.3414643021,2.6057953971
14.0000,21.2201431558,2.5909820703
