time,ANC,y2_raw
0.0000,3.0800000000,0.3760683761
0.2500,3.0800000000,0.3760683761
0.5000,3.0800000000,0.3760683761
0.7500,3.0800000000,0.3760683761
1.0000,3.0800000000,0.3760683761
1.2500,3.0800000000,0.3760683761
1.5000,3.0800000000,0.3760683761
1.7500,3.0800000000,0.3760683761
2.0000,3.0800000000,0.3760683761
2.2500,3.0800000000,0.3760683761
2.5000,3.0800000000,0.3760683761
2.7500,3.0800000000,0.3760683761
3.0000,3.0800000000,0.3760683761
3.2500,3.0800000000,0.3760683761
3.5000,3.0800000000,0.3760683761
3.7500,3.0800000000,0.3760683761
4.0000,3.0794311014,0.3759989135
4.2500,3.0613989044,0.3737971800
4.5000,3.0093769909,0.3674452980
4.7500,2.9272262664,0.3574146845
5.0000,2.8249013993,0.3449208058
5.2500,2.7114376667,0.3310668702
5.5000,2.5930910444,0.3166167331
5.7500,2.4736127663,0.3020284208
6.0000,2.3550250877,0.2875488508
6.2500,2.2383027374,0.2732970375
6.5000,2.1238459799,0.2593218535
6.7500,2.0117771371,0.2456382341
7.0000,1.9021147945,0.2322484487
7.2500,1.7948699093,0.2191538351
7.5000,1.6900941319,0.2063606999
7.7500,1.5878995330,0.1938827269
8.0000,1.4884559144,0.1817406489
8.2500,3.7216129174,0.4544093916
8.5000,3.6670426662,0.4477463573
8.7500,3.0747126960,0.3754227956
9.0000,2.3792111520,0.2905019722
9.2500,1.9204710594,0.2344897508
9.5000,1.7130609956,0.2091649567
9.7500,1.7022690258,0.2078472559
10.0000,1.8349227710,0.2240442944
10.2500,2.0728889699,0.2530999963
10.5000,2.3912072440,0.2919666965
10.7500,2.7735498997,0.3386507814
11.0000,3.2084765477,0.3917553782
11.2500,3.6866066499,0.4501351221
11.5000,4.1982913216,0.5126118830
11.7500,4.7323298342,0.5778180506
12.0000,5.2752949283,0.6441141549
12.2500,5.8113546056,0.7095671069
12.5000,6.3226357852,0.7719946014
12.7500,6.7902295366,0.8290878555
13.0000,7.1958357408,0.8786124226
13.2500,7.5237899174,0.9186556676
13.5000,7.7630108230,0.9478645694
13.7500,7.9083557989,0.9656112087
14.0000,7.9610282913,0.9720425264
