time,ANC,y2_raw
0.0000,3.0800000000,0.3760683761
0.2500,3.0800000000,0.3760683761
0.5000,3.0800000000,0.3760683761
0.7500,3.0800000000,0.3760683761
1.0000,3.0800000000,0.3760683761
1.2500,3.0800000000,0.3760683761
1.5000,3.0800000000,0.3760683761
1.7500,3.0800000000,0.3760683761
2.0000,3.0800000000,0.3760683761
2.2500,3.0800000000,0.3760683761
2.5000,3.0800000000,0.3760683761
2.7500,3.0800000000,0.3760683761
3.0000,3.0800000000,0.3760683761
3.2500,3.0800000000,0.3760683761
3.5000,3.0800000000,0.3760683761
3.7500,3.0800000000,0.3760683761
4.0000,3.0794311014,0.3759989135
4.2500,3.0613989044,0.3737971800
4.5000,3.0093769909,0.3674452980
4.7500,2.9272262664,0.3574146845
5.0000,2.8249013993,0.3449208058
5.2500,2.7114376667,0.3310668702
5.5000,2.5930910444,0.3166167331
5.7500,2.4736127663,0.3020284208
6.0000,2.3550250877,0.2875488508
6.2500,2.2383027374,0.2732970375
6.5000,2.1238459799,0.2593218535
6.7500,2.0117771371,0.2456382341
7.0000,1.9021147945,0.2322484487
7.2500,1.7948699093,0.2191538351
7.5000,1.6900941319,0.2063606999
7.7500,1.5878995330,0.1938827269
8.0000,1.4884555014,0.1817405985
8.2500,1.3919630261,0.1699588554
8.5000,1.2986400469,0.1585641083
8.7500,1.2087204927,0.1475849197
9.0000,1.1224522358,0.1370515550
9.2500,1.0400896306,0.1269950709
9.5000,0.9618819146,0.1174458992
9.7500,0.8880599309,0.1084322260
10.0000,0.8188231969,0.0999784123
10.2500,0.7543287673,0.0921036346
10.5000,0.6959970406,0.0849813236
10.7500,0.6517131995,0.0795742612
11.0000,0.6293467858,0.0768433194
11.2500,0.6331388238,0.0773063277
11.5000,0.6641427340,0.0810919089
11.7500,0.7217061899,0.0881204139
12.0000,0.8043088639,0.0982062105
12.2500,0.9097217453,0.1110771362
12.5000,1.0349685391,0.1263697850
12.7500,1.1763452700,0.1436319011
13.0000,1.3296009708,0.1623444409
13.2500,1.4902143144,0.1819553497
13.5000,1.6536929686,0.2019161134
13.7500,1.8159101228,0.2217228477
14.0000,1.9733614814,0.2409476778
